,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
160,0.7,0.6,1.6,4.096,-0.6,10.2676,0.02865,3e-05,0.0152,2e-05,3.487,0.061,500,1.749354746200172,0.46649715567049643
161,0.7,0.5,1.6,4.096,-0.3,10.5039,0.05058,7e-05,0.02972,5e-05,1.782,0.024,500,1.3468013468013467,0.43571658239089717
162,0.7,0.5,1.6,4.096,-0.6,10.3346,0.03583,4e-05,0.01992,4e-05,2.681,0.025,500,0.9324878776575904,0.45748283965491165
163,0.7,1.0,1.4,2.744,0.05,9.6226,0.03231,4e-05,0.02036,4e-05,2.984,0.035,500,1.172922252010724,0.4475569014842578
164,0.7,1.0,1.4,2.744,0.0,9.5977,0.03025,5e-05,0.01885,5e-05,3.19,0.061,500,1.9122257053291536,0.4510493332000321
165,0.7,1.0,1.4,2.744,-0.3,9.467,0.01773,3e-05,0.01051,1e-05,5.876,0.077,500,1.3104152484683458,0.46998979309087974
166,0.7,1.0,1.4,2.744,-0.6,9.3675,0.00882,1e-05,0.0048,1e-05,13.555,0.168,500,1.2393950571744745,0.4851258898823168
167,0.7,0.8,1.4,2.744,0.0,9.6894,0.03855,4e-05,0.02574,3e-05,2.384,0.03,500,1.2583892617449666,0.4383640219901377
168,0.7,0.8,1.4,2.744,-0.3,9.5414,0.02498,3e-05,0.01563,3e-05,3.978,0.09,500,2.262443438914027,0.4590809257888563
169,0.7,0.8,1.4,2.744,-0.6,9.4317,0.01461,2e-05,0.00864,2e-05,7.214,0.102,500,1.413917382866648,0.4752866571475734
170,0.7,0.6,1.4,2.744,-0.3,9.645,0.03547,5e-05,0.02374,4e-05,2.611,0.018,500,0.6893910379165069,0.4444458565541332
171,0.7,0.6,1.4,2.744,-0.6,9.518,0.02326,3e-05,0.0148,3e-05,4.228,0.06,500,1.4191106906338695,0.46247520790403124
172,0.7,0.5,1.4,2.744,-0.3,9.7171,0.04266,5e-05,0.02979,6e-05,2.114,0.028,500,1.3245033112582782,0.43462583822428164
173,0.7,0.5,1.4,2.744,-0.6,9.5777,0.02951,4e-05,0.01954,3e-05,3.191,0.062,500,1.9429645879034787,0.4538808597427788
174,0.7,1.0,1.2,1.728,0.05,8.9478,0.02832,3e-05,0.02221,4e-05,3.31,0.037,500,1.117824773413897,0.4452559300618776
175,0.7,1.0,1.2,1.728,0.0,8.9259,0.02629,4e-05,0.02047,7e-05,3.606,0.042,500,1.1647254575707155,0.4485413295521139
